"区分","計","計_男","計_女","Ａ　大学等進学者_計","Ａ　大学等進学者_計_通信を除く","Ａ　大学等進学者_男","Ａ　大学等進学者_男_通信を除く","Ａ　大学等進学者_女","Ａ　大学等進学者_女_通信を除く","　Ｂ　専修学校　　（専門課程）　　進学者_計","　Ｂ　専修学校　　（専門課程）　　進学者_男","　Ｂ　専修学校　　（専門課程）　　進学者_女","　Ｃ　専修学校　　（一般課程）　　等入学者_計","　Ｃ　専修学校　　（一般課程）　　等入学者_男","　Ｃ　専修学校　　（一般課程）　　等入学者_女","　Ｄ　公共職業能　　力開発施設等　　入学者_計","　Ｄ　公共職業能　　力開発施設等　　入学者_男","　Ｄ　公共職業能　　力開発施設等　　入学者_女","Ｅ　就職者（左記Ａ～Ｄを除く）_計","Ｅ　就職者（左記Ａ～Ｄを除く）_男","Ｅ　就職者（左記Ａ～Ｄを除く）_女","Ｆ　左記以外の者_計","Ｆ　左記以外の者_男","Ｆ　左記以外の者_女","Ｇ　死亡･不詳の者_計","Ｇ　死亡･不詳の者_男","Ｇ　死亡･不詳の者_女","左記Ａのうち他県への進学者（再掲）","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_計","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_男","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_女","高等学校等進学率（％）_計","高等学校等進学率（％）_男","高等学校等進学率（％）_女","専修学校（高等課程）進学率（％）_計","専修学校（高等課程）進学率（％）_男","専修学校（高等課程）進学率（％）_女","卒業者に占める就職者の割合（％）_計","卒業者に占める就職者の割合（％）_男","卒業者に占める就職者の割合（％）_女"
"三重","17797.0","9097.0","8700.0","17564.0","17011.0","8952.0","8667.0","8612.0","8344.0","6.0","1.0","5.0","7.0","5.0","2.0","1.0","1.0","0.0","97.0","74.0","23.0","117.0","60.0","57.0","5.0","4.0","1.0","719.0","2.0","1.0","1.0","98.6907905826825","98.4060679344839","98.9885057471264","0.0337135472270607","0.0109926349345938","0.0574712643678161","0.556273529246502","0.824447620094537","0.275862068965517"
"滋賀","14411.0","7345.0","7066.0","14251.0","13935.0","7250.0","7104.0","7001.0","6831.0","10.0","0.0","10.0","7.0","4.0","3.0","9.0","9.0","0.0","24.0","21.0","3.0","110.0","61.0","49.0","0.0","0.0","0.0","939.0","3.0","3.0","0.0","98.8897370064534","98.7066031313819","99.0801018964053","0.0693914370966623","0.0","0.141522785168412","0.187356880160988","0.326752893124575","0.0424568355505236"
"京都","24120.0","12208.0","11912.0","23881.0","23364.0","12075.0","11787.0","11806.0","11577.0","16.0","4.0","12.0","22.0","8.0","14.0","0.0","0.0","0.0","54.0","42.0","12.0","146.0","78.0","68.0","1.0","1.0","0.0","993.0","3.0","3.0","0.0","99.0091210613599","98.9105504587156","99.1101410342512","0.066334991708126","0.0327653997378768","0.10073875083949","0.236318407960199","0.368610747051114","0.10073875083949"
"大阪","83664.0","42658.0","41006.0","82146.0","80014.0","41836.0","40743.0","40310.0","39271.0","402.0","226.0","176.0","156.0","72.0","84.0","4.0","4.0","0.0","358.0","262.0","96.0","593.0","257.0","336.0","5.0","1.0","4.0","2851.0","11.0","11.0","0.0","98.1855995410212","98.0730460874865","98.3026874115983","0.480493402180149","0.52979511463266","0.429205482124567","0.44104991394148","0.639973744666886","0.234112081158855"
"兵庫","53579.0","27270.0","26309.0","52805.0","51535.0","26822.0","26136.0","25983.0","25399.0","141.0","65.0","76.0","48.0","19.0","29.0","9.0","9.0","0.0","150.0","115.0","35.0","416.0","234.0","182.0","10.0","6.0","4.0","3515.0","11.0","8.0","3.0","98.5554041695441","98.3571690502384","98.7608803071193","0.263162806323373","0.238357169050238","0.288874529628644","0.300490863957894","0.451045104510451","0.144437264814322"
"奈良","13716.0","7096.0","6620.0","13544.0","13457.0","7009.0","6973.0","6535.0","6484.0","64.0","37.0","27.0","30.0","11.0","19.0","6.0","5.0","1.0","14.0","8.0","6.0","56.0","24.0","32.0","2.0","2.0","0.0","1531.0","2.0","1.0","1.0","98.7459900845728","98.7739571589628","98.7160120845921","0.466608340624089","0.521420518602029","0.40785498489426","0.116652085156022","0.126832018038331","0.105740181268882"
"和歌山","9695.0","4854.0","4841.0","9584.0","9524.0","4796.0","4764.0","4788.0","4760.0","23.0","14.0","9.0","12.0","3.0","9.0","0.0","0.0","0.0","26.0","19.0","7.0","49.0","22.0","27.0","1.0","0.0","1.0","380.0","0.0","0.0","0.0","98.8550799381125","98.8051091882983","98.9051848791572","0.237235688499226","0.288421920065925","0.185912001652551","0.268179473955647","0.391429748660898","0.14459822350754"
"鳥取","5465.0","2838.0","2627.0","5390.0","5339.0","2784.0","2753.0","2606.0","2586.0","9.0","7.0","2.0","7.0","3.0","4.0","1.0","1.0","0.0","18.0","14.0","4.0","35.0","26.0","9.0","5.0","3.0","2.0","84.0","0.0","0.0","0.0","98.6276303751144","98.0972515856237","99.200609059764","0.164684354986276","0.246652572233968","0.0761324704986677","0.329368709972553","0.493305144467935","0.152264940997335"
"島根","6436.0","3246.0","3190.0","6375.0","6331.0","3213.0","3193.0","3162.0","3138.0","11.0","4.0","7.0","2.0","1.0","1.0","3.0","2.0","1.0","10.0","8.0","2.0","33.0","17.0","16.0","2.0","1.0","1.0","125.0","1.0","0.0","1.0","99.0522063393412","98.9833641404806","99.1222570532916","0.170913610938471","0.123228589032656","0.219435736677116","0.170913610938471","0.246457178065311","0.0940438871473354"
"岡山","18439.0","9436.0","9003.0","18100.0","17812.0","9229.0","9095.0","8871.0","8717.0","21.0","5.0","16.0","2.0","1.0","1.0","18.0","16.0","2.0","99.0","79.0","20.0","199.0","106.0","93.0","0.0","0.0","0.0","522.0","2.0","2.0","0.0","98.1615055046369","97.8062738448495","98.5338220593136","0.113889039535767","0.052988554472234","0.177718538265023","0.547752047291068","0.858414582450191","0.222148172831278"
